"DateAndTime","OS_Corr357 (Bloomberg-3-corridor 300E) Occupancy","",
"2016-10-05 00:00:10","0","",
"2016-10-05 00:01:24","1","",
"2016-10-05 00:02:36","1","",
"2016-10-05 00:04:39","0","",
"2016-10-05 00:04:53","1","",
"2016-10-05 00:05:56","1","",
"2016-10-05 00:07:59","0","",
"2016-10-05 00:10:31","1","",
"2016-10-05 00:12:35","0","",
"2016-10-05 00:12:37","1","",
"2016-10-05 00:14:41","0","",
"2016-10-05 00:15:10","1","",
"2016-10-05 00:17:14","0","",
"2016-10-05 00:23:05","1","",
"2016-10-05 00:25:09","0","",
"2016-10-05 00:27:45","1","",
"2016-10-05 00:29:49","0","",
"2016-10-05 00:30:14","1","",
"2016-10-05 00:32:17","0","",
"2016-10-05 00:33:45","1","",
"2016-10-05 00:35:49","0","",
"2016-10-05 00:36:51","1","",
"2016-10-05 00:38:55","0","",
"2016-10-05 00:40:43","1","",
"2016-10-05 00:42:47","0","",
"2016-10-05 00:42:48","1","",
"2016-10-05 00:43:53","1","",
"2016-10-05 00:44:55","1","",
"2016-10-05 00:46:18","1","",
"2016-10-05 00:47:33","1","",
"2016-10-05 00:49:13","1","",
"2016-10-05 00:50:40","1","",
"2016-10-05 00:52:02","1","",
"2016-10-05 00:54:06","0","",
"2016-10-05 00:54:18","1","",
"2016-10-05 00:56:22","0","",
"2016-10-05 01:03:06","1","",
"2016-10-05 01:05:10","0","",
"2016-10-05 01:07:05","1","",
"2016-10-05 01:09:09","0","",
"2016-10-05 01:10:04","1","",
"2016-10-05 01:11:06","1","",
"2016-10-05 01:13:10","0","",
"2016-10-05 01:13:15","1","",
"2016-10-05 01:14:54","1","",
"2016-10-05 01:16:24","1","",
"2016-10-05 01:17:47","1","",
"2016-10-05 01:19:51","0","",
"2016-10-05 01:20:06","1","",
"2016-10-05 01:21:42","1","",
"2016-10-05 01:23:46","0","",
"2016-10-05 01:28:15","1","",
"2016-10-05 01:30:18","0","",
"2016-10-05 01:31:22","1","",
"2016-10-05 01:33:26","0","",
"2016-10-05 01:37:41","1","",
"2016-10-05 01:38:56","1","",
"2016-10-05 01:40:58","1","",
"2016-10-05 01:43:01","0","",
"2016-10-05 01:43:35","1","",
"2016-10-05 01:44:44","1","",
"2016-10-05 01:46:48","0","",
"2016-10-05 01:49:02","1","",
"2016-10-05 01:51:06","0","",
"2016-10-05 01:53:27","1","",
"2016-10-05 01:55:28","1","",
"2016-10-05 01:57:32","0","",
"2016-10-05 02:01:28","1","",
"2016-10-05 02:03:32","0","",
"2016-10-05 02:10:50","1","",
"2016-10-05 02:12:54","0","",
"2016-10-05 02:15:31","1","",
"2016-10-05 02:17:35","0","",
"2016-10-05 02:18:00","1","",
"2016-10-05 02:19:36","1","",
"2016-10-05 02:21:40","0","",
"2016-10-05 02:23:38","1","",
"2016-10-05 02:25:42","0","",
"2016-10-05 02:30:43","1","",
"2016-10-05 02:32:41","1","",
"2016-10-05 02:34:45","0","",
"2016-10-05 02:46:05","0","",
"2016-10-05 02:46:44","1","",
"2016-10-05 02:48:48","0","",
"2016-10-05 02:53:13","1","",
"2016-10-05 02:55:16","0","",
"2016-10-05 02:56:06","1","",
"2016-10-05 02:58:10","0","",
"2016-10-05 02:59:07","1","",
"2016-10-05 03:01:10","0","",
"2016-10-05 03:06:56","1","",
"2016-10-05 03:08:26","1","",
"2016-10-05 03:10:30","0","",
"2016-10-05 03:21:51","0","",
"2016-10-05 03:28:43","1","",
"2016-10-05 03:30:47","0","",
"2016-10-05 03:42:07","0","",
"2016-10-05 03:46:28","1","",
"2016-10-05 03:48:27","1","",
"2016-10-05 03:50:31","0","",
"2016-10-05 04:01:50","0","",
"2016-10-05 04:13:11","0","",
"2016-10-05 04:24:31","0","",
"2016-10-05 04:35:52","0","",
"2016-10-05 04:47:12","0","",
"2016-10-05 04:54:44","1","",
"2016-10-05 04:55:52","1","",
"2016-10-05 04:57:56","0","",
"2016-10-05 05:02:48","1","",
"2016-10-05 05:04:51","0","",
"2016-10-05 05:16:12","0","",
"2016-10-05 05:27:32","0","",
"2016-10-05 05:38:53","0","",
"2016-10-05 05:50:13","0","",
"2016-10-05 05:55:58","1","",
"2016-10-05 05:58:01","0","",
"2016-10-05 06:02:23","1","",
"2016-10-05 06:04:27","0","",
"2016-10-05 06:15:47","0","",
"2016-10-05 06:27:07","0","",
"2016-10-05 06:38:27","0","",
"2016-10-05 06:49:47","0","",
"2016-10-05 07:01:07","0","",
"2016-10-05 07:12:23","1","",
"2016-10-05 07:14:27","0","",
"2016-10-05 07:24:18","1","",
"2016-10-05 07:26:22","0","",
"2016-10-05 07:37:42","0","",
"2016-10-05 07:45:30","1","",
"2016-10-05 07:47:33","0","",
"2016-10-05 07:50:58","1","",
"2016-10-05 07:53:01","0","",
"2016-10-05 07:54:33","1","",
"2016-10-05 07:56:36","0","",
"2016-10-05 07:57:08","1","",
"2016-10-05 07:59:12","0","",
"2016-10-05 08:04:30","1","",
"2016-10-05 08:06:34","0","",
"2016-10-05 08:13:43","1","",
"2016-10-05 08:15:47","0","",
"2016-10-05 08:17:11","1","",
"2016-10-05 08:19:14","0","",
"2016-10-05 08:21:09","1","",
"2016-10-05 08:23:12","0","",
"2016-10-05 08:25:03","1","",
"2016-10-05 08:26:48","1","",
"2016-10-05 08:28:35","1","",
"2016-10-05 08:30:39","0","",
"2016-10-05 08:31:33","1","",
"2016-10-05 08:33:36","0","",
"2016-10-05 08:34:03","1","",
"2016-10-05 08:36:07","0","",
"2016-10-05 08:38:17","1","",
"2016-10-05 08:40:21","0","",
"2016-10-05 08:43:10","1","",
"2016-10-05 08:44:14","1","",
"2016-10-05 08:46:18","0","",
"2016-10-05 08:46:19","1","",
"2016-10-05 08:48:23","0","",
"2016-10-05 08:51:53","1","",
"2016-10-05 08:53:56","1","",
"2016-10-05 08:56:00","0","",
"2016-10-05 08:57:43","1","",
"2016-10-05 08:59:47","0","",
"2016-10-05 09:04:16","1","",
"2016-10-05 09:06:20","0","",
"2016-10-05 09:09:59","1","",
"2016-10-05 09:12:03","0","",
"2016-10-05 09:13:14","1","",
"2016-10-05 09:15:18","0","",
"2016-10-05 09:17:09","1","",
"2016-10-05 09:19:12","0","",
"2016-10-05 09:20:35","1","",
"2016-10-05 09:22:39","0","",
"2016-10-05 09:31:56","1","",
"2016-10-05 09:34:00","0","",
"2016-10-05 09:35:31","1","",
"2016-10-05 09:37:35","0","",
"2016-10-05 09:39:17","1","",
"2016-10-05 09:40:37","1","",
"2016-10-05 09:42:15","1","",
"2016-10-05 09:44:18","0","",
"2016-10-05 09:44:32","1","",
"2016-10-05 09:46:36","0","",
"2016-10-05 09:48:09","1","",
"2016-10-05 09:50:13","0","",
"2016-10-05 09:51:22","1","",
"2016-10-05 09:53:26","0","",
"2016-10-05 09:55:49","1","",
"2016-10-05 09:57:53","0","",
"2016-10-05 10:09:12","0","",
"2016-10-05 10:20:33","0","",
"2016-10-05 10:21:41","1","",
"2016-10-05 10:23:44","0","",
"2016-10-05 10:25:23","1","",
"2016-10-05 10:26:32","1","",
"2016-10-05 10:28:35","0","",
"2016-10-05 10:29:19","1","",
"2016-10-05 10:31:14","1","",
"2016-10-05 10:33:18","0","",
"2016-10-05 10:34:49","1","",
"2016-10-05 10:36:53","0","",
"2016-10-05 10:38:07","1","",
"2016-10-05 10:39:14","1","",
"2016-10-05 10:40:27","1","",
"2016-10-05 10:42:31","0","",
"2016-10-05 10:46:20","1","",
"2016-10-05 10:48:22","1","",
"2016-10-05 10:50:25","0","",
"2016-10-05 10:52:08","1","",
"2016-10-05 10:53:59","1","",
"2016-10-05 10:56:03","0","",
"2016-10-05 10:56:11","1","",
"2016-10-05 10:57:41","1","",
"2016-10-05 10:59:31","1","",
"2016-10-05 11:01:34","0","",
"2016-10-05 11:06:54","1","",
"2016-10-05 11:08:58","0","",
"2016-10-05 11:11:20","1","",
"2016-10-05 11:13:24","0","",
"2016-10-05 11:16:32","1","",
"2016-10-05 11:18:36","0","",
"2016-10-05 11:19:38","1","",
"2016-10-05 11:21:42","0","",
"2016-10-05 11:26:05","1","",
"2016-10-05 11:28:09","0","",
"2016-10-05 11:29:50","1","",
"2016-10-05 11:31:54","0","",
"2016-10-05 11:33:48","1","",
"2016-10-05 11:35:51","0","",
"2016-10-05 11:35:56","1","",
"2016-10-05 11:38:00","0","",
"2016-10-05 11:51:07","0","",
"2016-10-05 11:53:52","1","",
"2016-10-05 11:55:29","1","",
"2016-10-05 11:57:33","0","",
"2016-10-05 11:58:07","1","",
"2016-10-05 12:00:11","0","",
"2016-10-05 12:00:14","1","",
"2016-10-05 12:02:00","1","",
"2016-10-05 12:04:03","0","",
"2016-10-05 12:04:46","1","",
"2016-10-05 12:06:50","0","",
"2016-10-05 12:07:49","1","",
"2016-10-05 12:09:10","1","",
"2016-10-05 12:11:14","0","",
"2016-10-05 12:12:03","1","",
"2016-10-05 12:14:07","0","",
"2016-10-05 12:15:10","1","",
"2016-10-05 12:16:45","1","",
"2016-10-05 12:18:49","0","",
"2016-10-05 12:19:19","1","",
"2016-10-05 12:21:22","0","",
"2016-10-05 12:21:45","1","",
"2016-10-05 12:22:51","1","",
"2016-10-05 12:24:26","1","",
"2016-10-05 12:26:30","0","",
"2016-10-05 12:36:17","1","",
"2016-10-05 12:38:21","0","",
"2016-10-05 12:41:37","1","",
"2016-10-05 12:43:41","0","",
"2016-10-05 12:48:26","1","",
"2016-10-05 12:50:30","0","",
"2016-10-05 12:53:34","1","",
"2016-10-05 12:58:39","1","",
"2016-10-05 12:59:53","1","",
"2016-10-05 13:01:14","1","",
"2016-10-05 13:02:52","1","",
"2016-10-05 13:04:55","0","",
"2016-10-05 13:08:28","1","",
"2016-10-05 13:09:45","1","",
"2016-10-05 13:11:48","0","",
"2016-10-05 13:14:04","1","",
"2016-10-05 13:16:08","0","",
"2016-10-05 13:17:28","1","",
"2016-10-05 13:19:32","0","",
"2016-10-05 13:20:41","1","",
"2016-10-05 13:22:30","1","",
"2016-10-05 13:24:11","1","",
"2016-10-05 13:25:31","1","",
"2016-10-05 13:27:19","1","",
"2016-10-05 13:29:04","1","",
"2016-10-05 13:30:46","1","",
"2016-10-05 13:32:50","0","",
"2016-10-05 13:34:25","1","",
"2016-10-05 13:36:29","0","",
"2016-10-05 13:37:42","1","",
"2016-10-05 13:39:46","0","",
"2016-10-05 13:44:02","1","",
"2016-10-05 13:46:06","0","",
"2016-10-05 13:46:26","1","",
"2016-10-05 13:48:29","0","",
"2016-10-05 13:54:07","1","",
"2016-10-05 13:56:11","0","",
"2016-10-05 13:58:53","1","",
"2016-10-05 14:00:56","0","",
"2016-10-05 14:12:17","0","",
"2016-10-05 14:14:46","1","",
"2016-10-05 14:16:49","0","",
"2016-10-05 14:17:01","1","",
"2016-10-05 14:18:33","1","",
"2016-10-05 14:20:37","0","",
"2016-10-05 14:30:13","1","",
"2016-10-05 14:32:17","0","",
"2016-10-05 14:33:12","1","",
"2016-10-05 14:35:16","0","",
"2016-10-05 14:35:53","1","",
"2016-10-05 14:37:56","0","",
"2016-10-05 14:39:11","1","",
"2016-10-05 14:41:15","0","",
"2016-10-05 14:44:52","1","",
"2016-10-05 14:46:56","0","",
"2016-10-05 14:55:44","1","",
"2016-10-05 14:56:49","1","",
"2016-10-05 14:58:53","0","",
"2016-10-05 14:58:59","1","",
"2016-10-05 15:01:03","0","",
"2016-10-05 15:05:52","1","",
"2016-10-05 15:07:55","0","",
"2016-10-05 15:08:10","1","",
"2016-10-05 15:10:14","0","",
"2016-10-05 15:21:35","0","",
"2016-10-05 15:26:01","1","",
"2016-10-05 15:28:05","0","",
"2016-10-05 15:30:12","1","",
"2016-10-05 15:31:44","1","",
"2016-10-05 15:33:48","0","",
"2016-10-05 15:45:08","0","",
"2016-10-05 15:49:11","1","",
"2016-10-05 15:50:30","1","",
"2016-10-05 15:52:34","0","",
"2016-10-05 15:54:39","1","",
"2016-10-05 15:56:43","0","",
"2016-10-05 16:02:08","1","",
"2016-10-05 16:04:12","0","",
"2016-10-05 16:07:52","1","",
"2016-10-05 16:09:21","1","",
"2016-10-05 16:10:34","1","",
"2016-10-05 16:12:17","1","",
"2016-10-05 16:13:20","1","",
"2016-10-05 16:15:24","0","",
"2016-10-05 16:19:54","1","",
"2016-10-05 16:21:57","0","",
"2016-10-05 16:22:31","1","",
"2016-10-05 16:24:34","0","",
"2016-10-05 16:25:37","1","",
"2016-10-05 16:27:11","1","",
"2016-10-05 16:28:21","1","",
"2016-10-05 16:30:05","1","",
"2016-10-05 16:31:37","1","",
"2016-10-05 16:33:00","1","",
"2016-10-05 16:34:40","1","",
"2016-10-05 16:36:44","0","",
"2016-10-05 16:42:37","1","",
"2016-10-05 16:44:01","1","",
"2016-10-05 16:45:05","1","",
"2016-10-05 16:46:29","1","",
"2016-10-05 16:48:33","0","",
"2016-10-05 16:49:24","1","",
"2016-10-05 16:50:33","1","",
"2016-10-05 16:51:57","1","",
"2016-10-05 16:54:00","0","",
"2016-10-05 16:55:11","1","",
"2016-10-05 16:57:14","0","",
"2016-10-05 16:58:18","1","",
"2016-10-05 17:00:21","0","",
"2016-10-05 17:02:26","1","",
"2016-10-05 17:06:17","1","",
"2016-10-05 17:08:21","0","",
"2016-10-05 17:12:39","1","",
"2016-10-05 17:14:42","0","",
"2016-10-05 17:15:15","1","",
"2016-10-05 17:16:49","1","",
"2016-10-05 17:18:53","0","",
"2016-10-05 17:20:07","1","",
"2016-10-05 17:22:11","0","",
"2016-10-05 17:24:37","1","",
"2016-10-05 17:26:40","0","",
"2016-10-05 17:29:53","1","",
"2016-10-05 17:31:57","0","",
"2016-10-05 17:32:38","1","",
"2016-10-05 17:34:42","0","",
"2016-10-05 17:35:22","1","",
"2016-10-05 17:37:26","0","",
"2016-10-05 17:38:20","1","",
"2016-10-05 17:39:52","1","",
"2016-10-05 17:41:56","0","",
"2016-10-05 17:42:54","1","",
"2016-10-05 17:44:58","0","",
"2016-10-05 17:45:47","1","",
"2016-10-05 17:47:29","1","",
"2016-10-05 17:48:44","1","",
"2016-10-05 17:50:38","1","",
"2016-10-05 17:52:09","1","",
"2016-10-05 17:53:13","1","",
"2016-10-05 17:55:07","1","",
"2016-10-05 17:57:11","0","",
"2016-10-05 17:59:09","1","",
"2016-10-05 18:00:26","1","",
"2016-10-05 18:02:30","0","",
"2016-10-05 18:03:53","1","",
"2016-10-05 18:05:57","0","",
"2016-10-05 18:07:00","1","",
"2016-10-05 18:09:04","0","",
"2016-10-05 18:13:01","1","",
"2016-10-05 18:15:05","0","",
"2016-10-05 18:20:29","1","",
"2016-10-05 18:22:29","1","",
"2016-10-05 18:24:33","0","",
"2016-10-05 18:25:47","1","",
"2016-10-05 18:27:02","1","",
"2016-10-05 18:28:44","1","",
"2016-10-05 18:30:48","0","",
"2016-10-05 18:33:20","1","",
"2016-10-05 18:35:09","1","",
"2016-10-05 18:37:13","0","",
"2016-10-05 18:37:30","1","",
"2016-10-05 18:39:34","0","",
"2016-10-05 18:40:02","1","",
"2016-10-05 18:41:57","1","",
"2016-10-05 18:43:24","1","",
"2016-10-05 18:45:28","0","",
"2016-10-05 18:46:30","1","",
"2016-10-05 18:48:34","0","",
"2016-10-05 18:53:23","1","",
"2016-10-05 18:54:25","1","",
"2016-10-05 18:56:29","0","",
"2016-10-05 18:56:47","1","",
"2016-10-05 18:58:51","0","",
"2016-10-05 19:03:18","1","",
"2016-10-05 19:04:49","1","",
"2016-10-05 19:06:52","0","",
"2016-10-05 19:08:09","1","",
"2016-10-05 19:10:13","0","",
"2016-10-05 19:13:44","1","",
"2016-10-05 19:14:51","1","",
"2016-10-05 19:16:45","1","",
"2016-10-05 19:17:58","1","",
"2016-10-05 19:19:34","1","",
"2016-10-05 19:21:37","0","",
"2016-10-05 19:23:32","1","",
"2016-10-05 19:24:35","1","",
"2016-10-05 19:26:39","0","",
"2016-10-05 19:34:20","1","",
"2016-10-05 19:36:23","0","",
"2016-10-05 19:36:26","1","",
"2016-10-05 19:38:30","0","",
"2016-10-05 19:43:24","1","",
"2016-10-05 19:45:28","0","",
"2016-10-05 19:48:48","1","",
"2016-10-05 19:50:52","0","",
"2016-10-05 19:55:43","1","",
"2016-10-05 19:57:46","0","",
"2016-10-05 19:59:57","1","",
"2016-10-05 20:01:42","1","",
"2016-10-05 20:03:45","0","",
"2016-10-05 20:06:52","1","",
"2016-10-05 20:08:56","0","",
"2016-10-05 20:09:19","1","",
"2016-10-05 20:10:22","1","",
"2016-10-05 20:11:51","1","",
"2016-10-05 20:13:55","0","",
"2016-10-05 20:15:46","1","",
"2016-10-05 20:17:50","0","",
"2016-10-05 20:19:12","1","",
"2016-10-05 20:21:16","0","",
"2016-10-05 20:22:22","1","",
"2016-10-05 20:24:26","0","",
"2016-10-05 20:29:20","1","",
"2016-10-05 20:30:46","1","",
"2016-10-05 20:32:01","1","",
"2016-10-05 20:34:05","0","",
"2016-10-05 20:35:33","1","",
"2016-10-05 20:37:37","0","",
"2016-10-05 20:39:28","1","",
"2016-10-05 20:41:31","0","",
"2016-10-05 20:42:53","1","",
"2016-10-05 20:48:00","1","",
"2016-10-05 20:49:04","1","",
"2016-10-05 20:51:08","0","",
"2016-10-05 20:51:13","1","",
"2016-10-05 20:52:18","1","",
"2016-10-05 20:54:01","1","",
"2016-10-05 20:56:05","0","",
"2016-10-05 20:58:22","1","",
"2016-10-05 21:00:11","1","",
"2016-10-05 21:02:02","1","",
"2016-10-05 21:03:04","1","",
"2016-10-05 21:04:09","1","",
"2016-10-05 21:05:29","1","",
"2016-10-05 21:06:41","1","",
"2016-10-05 21:07:43","1","",
"2016-10-05 21:08:45","1","",
"2016-10-05 21:10:02","1","",
"2016-10-05 21:11:58","1","",
"2016-10-05 21:14:02","0","",
"2016-10-05 21:15:32","1","",
"2016-10-05 21:16:36","1","",
"2016-10-05 21:18:40","0","",
"2016-10-05 21:25:03","1","",
"2016-10-05 21:26:26","1","",
"2016-10-05 21:27:32","1","",
"2016-10-05 21:29:10","1","",
"2016-10-05 21:30:15","1","",
"2016-10-05 21:32:18","0","",
"2016-10-05 21:33:01","1","",
"2016-10-05 21:35:05","0","",
"2016-10-05 21:37:15","1","",
"2016-10-05 21:38:56","1","",
"2016-10-05 21:40:03","1","",
"2016-10-05 21:41:08","1","",
"2016-10-05 21:43:11","0","",
"2016-10-05 21:43:52","1","",
"2016-10-05 21:44:54","1","",
"2016-10-05 21:45:56","1","",
"2016-10-05 21:48:00","0","",
"2016-10-05 21:48:16","1","",
"2016-10-05 21:49:33","1","",
"2016-10-05 21:50:35","1","",
"2016-10-05 21:52:39","0","",
"2016-10-05 21:53:27","1","",
"2016-10-05 21:54:29","1","",
"2016-10-05 21:55:32","1","",
"2016-10-05 21:56:35","1","",
"2016-10-05 21:58:39","0","",
"2016-10-05 22:01:23","1","",
"2016-10-05 22:03:27","0","",
"2016-10-05 22:03:58","1","",
"2016-10-05 22:06:02","0","",
"2016-10-05 22:06:14","1","",
"2016-10-05 22:07:16","1","",
"2016-10-05 22:08:20","1","",
"2016-10-05 22:10:24","0","",
"2016-10-05 22:11:45","1","",
"2016-10-05 22:13:28","1","",
"2016-10-05 22:14:45","1","",
"2016-10-05 22:15:59","1","",
"2016-10-05 22:17:08","1","",
"2016-10-05 22:18:55","1","",
"2016-10-05 22:20:58","0","",
"2016-10-05 22:22:25","1","",
"2016-10-05 22:24:28","0","",
"2016-10-05 22:24:53","1","",
"2016-10-05 22:26:13","1","",
"2016-10-05 22:28:17","0","",
"2016-10-05 22:29:59","1","",
"2016-10-05 22:31:04","1","",
"2016-10-05 22:32:56","1","",
"2016-10-05 22:35:00","1","",
"2016-10-05 22:36:13","1","",
"2016-10-05 22:38:17","0","",
"2016-10-05 22:38:29","1","",
"2016-10-05 22:40:16","1","",
"2016-10-05 22:42:08","1","",
"2016-10-05 22:44:11","0","",
"2016-10-05 22:48:12","1","",
"2016-10-05 22:50:12","1","",
"2016-10-05 22:52:08","1","",
"2016-10-05 22:53:43","1","",
"2016-10-05 22:55:03","1","",
"2016-10-05 22:56:15","1","",
"2016-10-05 22:58:19","0","",
"2016-10-05 22:58:56","1","",
"2016-10-05 23:01:00","0","",
"2016-10-05 23:04:27","1","",
"2016-10-05 23:06:01","1","",
"2016-10-05 23:08:05","0","",
"2016-10-05 23:09:52","1","",
"2016-10-05 23:11:56","0","",
"2016-10-05 23:12:23","1","",
"2016-10-05 23:13:49","1","",
"2016-10-05 23:15:53","0","",
"2016-10-05 23:15:54","1","",
"2016-10-05 23:17:57","0","",
"2016-10-05 23:28:46","1","",
"2016-10-05 23:30:39","1","",
"2016-10-05 23:32:43","0","",
"2016-10-05 23:33:28","1","",
"2016-10-05 23:35:32","0","",
"2016-10-05 23:37:37","1","",
"2016-10-05 23:39:21","1","",
"2016-10-05 23:40:51","1","",
"2016-10-05 23:42:03","1","",
"2016-10-05 23:44:07","0","",
"2016-10-05 23:46:24","1","",
"2016-10-05 23:47:36","1","",
"2016-10-05 23:49:29","1","",
"2016-10-05 23:51:14","1","",
"2016-10-05 23:53:18","0","",
"2016-10-05 23:55:13","1","",
"2016-10-05 23:57:17","0","",
