"DateAndTime","OS_Corr360 (Bloomberg-3-corridor 302) Occupancy","",
"2016-10-05 00:01:09","1","",
"2016-10-05 00:02:28","1","",
"2016-10-05 00:04:34","0","",
"2016-10-05 00:04:57","1","",
"2016-10-05 00:07:02","0","",
"2016-10-05 00:10:34","1","",
"2016-10-05 00:12:40","0","",
"2016-10-05 00:12:41","1","",
"2016-10-05 00:14:37","1","",
"2016-10-05 00:16:43","0","",
"2016-10-05 00:17:53","1","",
"2016-10-05 00:19:59","0","",
"2016-10-05 00:20:08","1","",
"2016-10-05 00:21:14","1","",
"2016-10-05 00:23:20","0","",
"2016-10-05 00:25:54","0","",
"2016-10-05 00:26:03","1","",
"2016-10-05 00:28:09","0","",
"2016-10-05 00:28:23","1","",
"2016-10-05 00:30:15","1","",
"2016-10-05 00:32:20","0","",
"2016-10-05 00:33:52","1","",
"2016-10-05 00:35:58","0","",
"2016-10-05 00:36:44","1","",
"2016-10-05 00:38:50","0","",
"2016-10-05 00:40:43","1","",
"2016-10-05 00:42:42","1","",
"2016-10-05 00:43:55","1","",
"2016-10-05 00:44:58","1","",
"2016-10-05 00:46:14","1","",
"2016-10-05 00:47:26","1","",
"2016-10-05 00:49:31","0","",
"2016-10-05 00:50:34","1","",
"2016-10-05 00:52:03","1","",
"2016-10-05 00:54:09","0","",
"2016-10-05 00:54:21","1","",
"2016-10-05 00:56:27","0","",
"2016-10-05 01:03:01","1","",
"2016-10-05 01:05:07","0","",
"2016-10-05 01:07:07","1","",
"2016-10-05 01:09:13","0","",
"2016-10-05 01:09:55","1","",
"2016-10-05 01:10:58","1","",
"2016-10-05 01:12:01","1","",
"2016-10-05 01:13:15","1","",
"2016-10-05 01:14:46","1","",
"2016-10-05 01:16:44","1","",
"2016-10-05 01:17:48","1","",
"2016-10-05 01:19:53","0","",
"2016-10-05 01:20:02","1","",
"2016-10-05 01:21:41","1","",
"2016-10-05 01:23:47","0","",
"2016-10-05 01:25:02","1","",
"2016-10-05 01:26:42","1","",
"2016-10-05 01:27:47","1","",
"2016-10-05 01:29:52","0","",
"2016-10-05 01:31:18","1","",
"2016-10-05 01:33:24","0","",
"2016-10-05 01:37:46","1","",
"2016-10-05 01:38:50","1","",
"2016-10-05 01:39:56","1","",
"2016-10-05 01:41:26","1","",
"2016-10-05 01:43:30","1","",
"2016-10-05 01:44:41","1","",
"2016-10-05 01:46:47","0","",
"2016-10-05 01:48:56","1","",
"2016-10-05 01:51:02","0","",
"2016-10-05 01:53:22","1","",
"2016-10-05 01:55:28","0","",
"2016-10-05 01:55:30","1","",
"2016-10-05 01:57:35","0","",
"2016-10-05 02:09:07","0","",
"2016-10-05 02:10:52","1","",
"2016-10-05 02:12:57","0","",
"2016-10-05 02:15:25","1","",
"2016-10-05 02:17:31","0","",
"2016-10-05 02:18:04","1","",
"2016-10-05 02:19:10","1","",
"2016-10-05 02:21:16","0","",
"2016-10-05 02:30:47","1","",
"2016-10-05 02:32:36","1","",
"2016-10-05 02:34:42","0","",
"2016-10-05 02:46:13","0","",
"2016-10-05 02:46:37","1","",
"2016-10-05 02:48:43","0","",
"2016-10-05 02:53:16","1","",
"2016-10-05 02:55:22","0","",
"2016-10-05 02:56:08","1","",
"2016-10-05 02:58:14","0","",
"2016-10-05 02:59:02","1","",
"2016-10-05 03:01:07","0","",
"2016-10-05 03:04:17","1","",
"2016-10-05 03:05:30","1","",
"2016-10-05 03:06:51","1","",
"2016-10-05 03:08:30","1","",
"2016-10-05 03:10:36","0","",
"2016-10-05 03:22:08","0","",
"2016-10-05 03:28:53","1","",
"2016-10-05 03:30:59","0","",
"2016-10-05 03:42:30","0","",
"2016-10-05 03:46:23","1","",
"2016-10-05 03:48:29","0","",
"2016-10-05 03:48:30","1","",
"2016-10-05 03:50:36","0","",
"2016-10-05 04:02:07","0","",
"2016-10-05 04:13:39","0","",
"2016-10-05 04:25:10","0","",
"2016-10-05 04:36:42","0","",
"2016-10-05 04:48:13","0","",
"2016-10-05 04:54:46","1","",
"2016-10-05 04:55:49","1","",
"2016-10-05 04:57:55","0","",
"2016-10-05 05:02:58","1","",
"2016-10-05 05:05:04","0","",
"2016-10-05 05:16:35","0","",
"2016-10-05 05:28:07","0","",
"2016-10-05 05:39:38","0","",
"2016-10-05 05:51:09","0","",
"2016-10-05 05:56:03","1","",
"2016-10-05 05:58:08","0","",
"2016-10-05 06:02:18","1","",
"2016-10-05 06:04:24","0","",
"2016-10-05 06:15:55","0","",
"2016-10-05 06:27:26","0","",
"2016-10-05 06:38:57","0","",
"2016-10-05 06:50:28","0","",
"2016-10-05 06:59:57","1","",
"2016-10-05 07:02:02","0","",
"2016-10-05 07:06:19","1","",
"2016-10-05 07:08:24","0","",
"2016-10-05 07:12:28","1","",
"2016-10-05 07:14:33","0","",
"2016-10-05 07:24:14","1","",
"2016-10-05 07:26:19","0","",
"2016-10-05 07:31:11","1","",
"2016-10-05 07:33:17","0","",
"2016-10-05 07:36:52","1","",
"2016-10-05 07:38:58","0","",
"2016-10-05 07:40:05","1","",
"2016-10-05 07:42:10","0","",
"2016-10-05 07:50:50","1","",
"2016-10-05 07:52:56","0","",
"2016-10-05 07:54:34","1","",
"2016-10-05 07:56:39","0","",
"2016-10-05 07:57:03","1","",
"2016-10-05 07:59:09","0","",
"2016-10-05 08:01:27","1","",
"2016-10-05 08:03:33","0","",
"2016-10-05 08:04:22","1","",
"2016-10-05 08:05:48","1","",
"2016-10-05 08:07:54","0","",
"2016-10-05 08:13:43","1","",
"2016-10-05 08:15:49","0","",
"2016-10-05 08:17:02","1","",
"2016-10-05 08:19:07","0","",
"2016-10-05 08:25:05","1","",
"2016-10-05 08:26:52","1","",
"2016-10-05 08:28:28","1","",
"2016-10-05 08:30:33","0","",
"2016-10-05 08:31:54","1","",
"2016-10-05 08:34:00","0","",
"2016-10-05 08:34:08","1","",
"2016-10-05 08:35:53","1","",
"2016-10-05 08:37:58","0","",
"2016-10-05 08:38:22","1","",
"2016-10-05 08:40:27","0","",
"2016-10-05 08:43:50","1","",
"2016-10-05 08:45:56","0","",
"2016-10-05 08:46:15","1","",
"2016-10-05 08:48:21","0","",
"2016-10-05 08:51:24","1","",
"2016-10-05 08:53:30","0","",
"2016-10-05 08:54:02","1","",
"2016-10-05 08:56:07","0","",
"2016-10-05 08:57:50","1","",
"2016-10-05 08:59:55","0","",
"2016-10-05 09:08:39","1","",
"2016-10-05 09:10:04","1","",
"2016-10-05 09:12:10","0","",
"2016-10-05 09:13:10","1","",
"2016-10-05 09:14:39","1","",
"2016-10-05 09:16:42","1","",
"2016-10-05 09:18:48","0","",
"2016-10-05 09:19:10","1","",
"2016-10-05 09:20:30","1","",
"2016-10-05 09:22:36","0","",
"2016-10-05 09:24:56","1","",
"2016-10-05 09:27:02","0","",
"2016-10-05 09:31:35","1","",
"2016-10-05 09:33:40","0","",
"2016-10-05 09:35:23","1","",
"2016-10-05 09:37:17","1","",
"2016-10-05 09:39:11","1","",
"2016-10-05 09:41:17","0","",
"2016-10-05 09:44:27","1","",
"2016-10-05 09:46:32","0","",
"2016-10-05 09:48:05","1","",
"2016-10-05 09:50:10","0","",
"2016-10-05 09:51:25","1","",
"2016-10-05 09:53:30","0","",
"2016-10-05 09:58:31","1","",
"2016-10-05 10:00:36","0","",
"2016-10-05 10:04:30","1","",
"2016-10-05 10:06:36","0","",
"2016-10-05 10:13:42","1","",
"2016-10-05 10:15:48","0","",
"2016-10-05 10:20:43","1","",
"2016-10-05 10:21:45","1","",
"2016-10-05 10:23:51","0","",
"2016-10-05 10:25:13","1","",
"2016-10-05 10:26:21","1","",
"2016-10-05 10:28:27","0","",
"2016-10-05 10:29:20","1","",
"2016-10-05 10:31:19","1","",
"2016-10-05 10:33:25","0","",
"2016-10-05 10:34:43","1","",
"2016-10-05 10:35:48","1","",
"2016-10-05 10:37:53","0","",
"2016-10-05 10:37:57","1","",
"2016-10-05 10:39:21","1","",
"2016-10-05 10:40:53","1","",
"2016-10-05 10:42:59","0","",
"2016-10-05 10:46:45","1","",
"2016-10-05 10:48:23","1","",
"2016-10-05 10:49:37","1","",
"2016-10-05 10:51:43","0","",
"2016-10-05 10:52:01","1","",
"2016-10-05 10:53:57","1","",
"2016-10-05 10:56:03","0","",
"2016-10-05 10:56:05","1","",
"2016-10-05 10:57:13","1","",
"2016-10-05 10:59:18","0","",
"2016-10-05 10:59:20","1","",
"2016-10-05 11:01:26","0","",
"2016-10-05 11:06:54","1","",
"2016-10-05 11:09:00","0","",
"2016-10-05 11:11:13","1","",
"2016-10-05 11:13:19","0","",
"2016-10-05 11:17:16","1","",
"2016-10-05 11:19:22","0","",
"2016-10-05 11:19:40","1","",
"2016-10-05 11:21:46","0","",
"2016-10-05 11:26:08","1","",
"2016-10-05 11:28:13","0","",
"2016-10-05 11:29:35","1","",
"2016-10-05 11:31:41","0","",
"2016-10-05 11:33:06","1","",
"2016-10-05 11:35:12","0","",
"2016-10-05 11:35:59","1","",
"2016-10-05 11:38:05","0","",
"2016-10-05 11:41:31","1","",
"2016-10-05 11:43:36","0","",
"2016-10-05 11:51:03","0","",
"2016-10-05 11:53:55","1","",
"2016-10-05 11:55:23","1","",
"2016-10-05 11:57:29","0","",
"2016-10-05 11:58:08","1","",
"2016-10-05 12:00:13","0","",
"2016-10-05 12:00:14","1","",
"2016-10-05 12:02:03","1","",
"2016-10-05 12:04:09","0","",
"2016-10-05 12:04:35","1","",
"2016-10-05 12:06:41","0","",
"2016-10-05 12:07:55","1","",
"2016-10-05 12:09:04","1","",
"2016-10-05 12:11:10","0","",
"2016-10-05 12:12:08","1","",
"2016-10-05 12:14:14","0","",
"2016-10-05 12:15:09","1","",
"2016-10-05 12:16:48","1","",
"2016-10-05 12:18:53","0","",
"2016-10-05 12:19:22","1","",
"2016-10-05 12:21:28","0","",
"2016-10-05 12:22:48","1","",
"2016-10-05 12:24:21","1","",
"2016-10-05 12:26:27","0","",
"2016-10-05 12:36:14","1","",
"2016-10-05 12:38:19","0","",
"2016-10-05 12:41:37","1","",
"2016-10-05 12:42:52","1","",
"2016-10-05 12:44:58","0","",
"2016-10-05 12:48:19","1","",
"2016-10-05 12:49:26","1","",
"2016-10-05 12:51:32","0","",
"2016-10-05 12:53:23","1","",
"2016-10-05 12:54:32","1","",
"2016-10-05 12:58:36","0","",
"2016-10-05 12:58:41","1","",
"2016-10-05 12:59:46","1","",
"2016-10-05 13:01:51","0","",
"2016-10-05 13:02:55","1","",
"2016-10-05 13:05:01","0","",
"2016-10-05 13:08:30","1","",
"2016-10-05 13:09:46","1","",
"2016-10-05 13:11:15","1","",
"2016-10-05 13:12:38","1","",
"2016-10-05 13:13:56","1","",
"2016-10-05 13:16:02","0","",
"2016-10-05 13:17:04","1","",
"2016-10-05 13:18:27","1","",
"2016-10-05 13:20:33","0","",
"2016-10-05 13:20:36","1","",
"2016-10-05 13:22:30","1","",
"2016-10-05 13:24:36","0","",
"2016-10-05 13:25:19","1","",
"2016-10-05 13:27:22","1","",
"2016-10-05 13:28:29","1","",
"2016-10-05 13:29:49","1","",
"2016-10-05 13:30:52","1","",
"2016-10-05 13:32:11","1","",
"2016-10-05 13:34:17","0","",
"2016-10-05 13:34:28","1","",
"2016-10-05 13:36:34","0","",
"2016-10-05 13:37:34","1","",
"2016-10-05 13:39:40","0","",
"2016-10-05 13:40:03","1","",
"2016-10-05 13:41:06","1","",
"2016-10-05 13:43:12","0","",
"2016-10-05 13:44:09","1","",
"2016-10-05 13:45:18","1","",
"2016-10-05 13:46:21","1","",
"2016-10-05 13:48:26","0","",
"2016-10-05 13:50:45","1","",
"2016-10-05 13:52:40","1","",
"2016-10-05 13:54:08","1","",
"2016-10-05 13:55:51","1","",
"2016-10-05 13:57:57","0","",
"2016-10-05 13:58:08","1","",
"2016-10-05 13:59:27","1","",
"2016-10-05 14:01:32","0","",
"2016-10-05 14:13:04","0","",
"2016-10-05 14:14:48","1","",
"2016-10-05 14:16:52","1","",
"2016-10-05 14:18:35","1","",
"2016-10-05 14:20:41","0","",
"2016-10-05 14:30:08","1","",
"2016-10-05 14:32:14","0","",
"2016-10-05 14:33:04","1","",
"2016-10-05 14:35:10","0","",
"2016-10-05 14:35:57","1","",
"2016-10-05 14:37:05","1","",
"2016-10-05 14:39:04","1","",
"2016-10-05 14:41:10","0","",
"2016-10-05 14:44:46","1","",
"2016-10-05 14:46:52","0","",
"2016-10-05 14:55:38","1","",
"2016-10-05 14:56:50","1","",
"2016-10-05 14:58:51","1","",
"2016-10-05 15:00:57","0","",
"2016-10-05 15:05:45","1","",
"2016-10-05 15:07:51","0","",
"2016-10-05 15:08:02","1","",
"2016-10-05 15:10:08","0","",
"2016-10-05 15:13:09","1","",
"2016-10-05 15:15:15","0","",
"2016-10-05 15:26:02","1","",
"2016-10-05 15:28:08","0","",
"2016-10-05 15:30:40","1","",
"2016-10-05 15:31:45","1","",
"2016-10-05 15:33:13","1","",
"2016-10-05 15:34:18","1","",
"2016-10-05 15:36:24","0","",
"2016-10-05 15:40:58","1","",
"2016-10-05 15:42:01","1","",
"2016-10-05 15:44:07","0","",
"2016-10-05 15:45:55","1","",
"2016-10-05 15:46:58","1","",
"2016-10-05 15:48:25","1","",
"2016-10-05 15:50:19","1","",
"2016-10-05 15:52:24","0","",
"2016-10-05 16:02:08","1","",
"2016-10-05 16:04:14","0","",
"2016-10-05 16:10:30","1","",
"2016-10-05 16:12:10","1","",
"2016-10-05 16:14:06","1","",
"2016-10-05 16:15:57","1","",
"2016-10-05 16:18:03","0","",
"2016-10-05 16:18:37","1","",
"2016-10-05 16:20:43","0","",
"2016-10-05 16:22:33","1","",
"2016-10-05 16:24:38","0","",
"2016-10-05 16:25:31","1","",
"2016-10-05 16:27:14","1","",
"2016-10-05 16:28:18","1","",
"2016-10-05 16:30:09","1","",
"2016-10-05 16:31:40","1","",
"2016-10-05 16:33:00","1","",
"2016-10-05 16:35:06","0","",
"2016-10-05 16:42:36","1","",
"2016-10-05 16:44:04","1","",
"2016-10-05 16:45:10","1","",
"2016-10-05 16:47:16","0","",
"2016-10-05 16:49:23","1","",
"2016-10-05 16:50:35","1","",
"2016-10-05 16:51:50","1","",
"2016-10-05 16:53:56","0","",
"2016-10-05 16:55:12","1","",
"2016-10-05 16:57:17","0","",
"2016-10-05 16:58:11","1","",
"2016-10-05 17:00:17","0","",
"2016-10-05 17:02:18","1","",
"2016-10-05 17:06:20","1","",
"2016-10-05 17:07:23","1","",
"2016-10-05 17:09:29","0","",
"2016-10-05 17:12:32","1","",
"2016-10-05 17:14:38","0","",
"2016-10-05 17:15:18","1","",
"2016-10-05 17:16:43","1","",
"2016-10-05 17:18:49","0","",
"2016-10-05 17:20:10","1","",
"2016-10-05 17:22:16","0","",
"2016-10-05 17:24:28","1","",
"2016-10-05 17:26:34","0","",
"2016-10-05 17:29:45","1","",
"2016-10-05 17:31:51","0","",
"2016-10-05 17:32:41","1","",
"2016-10-05 17:33:59","1","",
"2016-10-05 17:36:05","0","",
"2016-10-05 17:37:23","1","",
"2016-10-05 17:39:29","0","",
"2016-10-05 17:39:44","1","",
"2016-10-05 17:41:50","0","",
"2016-10-05 17:47:24","1","",
"2016-10-05 17:48:48","1","",
"2016-10-05 17:49:51","1","",
"2016-10-05 17:51:00","1","",
"2016-10-05 17:52:03","1","",
"2016-10-05 17:53:15","1","",
"2016-10-05 17:55:04","1","",
"2016-10-05 17:57:10","0","",
"2016-10-05 17:59:13","1","",
"2016-10-05 18:00:30","1","",
"2016-10-05 18:02:36","0","",
"2016-10-05 18:04:40","1","",
"2016-10-05 18:06:45","0","",
"2016-10-05 18:06:55","1","",
"2016-10-05 18:08:10","1","",
"2016-10-05 18:10:05","1","",
"2016-10-05 18:12:11","0","",
"2016-10-05 18:13:02","1","",
"2016-10-05 18:15:08","0","",
"2016-10-05 18:18:14","1","",
"2016-10-05 18:20:19","1","",
"2016-10-05 18:22:25","0","",
"2016-10-05 18:22:46","1","",
"2016-10-05 18:24:06","1","",
"2016-10-05 18:25:42","1","",
"2016-10-05 18:26:53","1","",
"2016-10-05 18:27:58","1","",
"2016-10-05 18:29:13","1","",
"2016-10-05 18:30:54","1","",
"2016-10-05 18:33:00","0","",
"2016-10-05 18:33:14","1","",
"2016-10-05 18:35:12","1","",
"2016-10-05 18:37:18","0","",
"2016-10-05 18:37:20","1","",
"2016-10-05 18:39:26","0","",
"2016-10-05 18:43:30","1","",
"2016-10-05 18:45:36","0","",
"2016-10-05 18:46:00","1","",
"2016-10-05 18:48:06","0","",
"2016-10-05 18:53:15","1","",
"2016-10-05 18:54:19","1","",
"2016-10-05 18:56:03","1","",
"2016-10-05 18:57:47","1","",
"2016-10-05 18:59:05","1","",
"2016-10-05 19:01:10","0","",
"2016-10-05 19:03:12","1","",
"2016-10-05 19:04:15","1","",
"2016-10-05 19:05:23","1","",
"2016-10-05 19:07:29","0","",
"2016-10-05 19:08:04","1","",
"2016-10-05 19:10:00","1","",
"2016-10-05 19:12:06","0","",
"2016-10-05 19:13:35","1","",
"2016-10-05 19:14:42","1","",
"2016-10-05 19:16:48","0","",
"2016-10-05 19:17:31","1","",
"2016-10-05 19:18:35","1","",
"2016-10-05 19:20:41","0","",
"2016-10-05 19:22:14","1","",
"2016-10-05 19:23:36","1","",
"2016-10-05 19:25:42","0","",
"2016-10-05 19:31:03","1","",
"2016-10-05 19:33:08","0","",
"2016-10-05 19:33:12","1","",
"2016-10-05 19:34:26","1","",
"2016-10-05 19:36:20","1","",
"2016-10-05 19:38:25","0","",
"2016-10-05 19:43:25","1","",
"2016-10-05 19:45:31","0","",
"2016-10-05 19:48:42","1","",
"2016-10-05 19:50:47","0","",
"2016-10-05 19:55:42","1","",
"2016-10-05 19:57:48","0","",
"2016-10-05 19:58:48","1","",
"2016-10-05 19:59:53","1","",
"2016-10-05 20:01:58","0","",
"2016-10-05 20:06:44","1","",
"2016-10-05 20:08:50","0","",
"2016-10-05 20:10:17","1","",
"2016-10-05 20:11:58","1","",
"2016-10-05 20:13:09","1","",
"2016-10-05 20:15:15","0","",
"2016-10-05 20:15:17","1","",
"2016-10-05 20:17:22","0","",
"2016-10-05 20:17:46","1","",
"2016-10-05 20:19:06","1","",
"2016-10-05 20:21:12","0","",
"2016-10-05 20:22:24","1","",
"2016-10-05 20:24:30","0","",
"2016-10-05 20:27:58","1","",
"2016-10-05 20:29:24","1","",
"2016-10-05 20:30:39","1","",
"2016-10-05 20:32:35","1","",
"2016-10-05 20:34:41","0","",
"2016-10-05 20:35:34","1","",
"2016-10-05 20:37:40","0","",
"2016-10-05 20:39:29","1","",
"2016-10-05 20:40:45","1","",
"2016-10-05 20:42:51","0","",
"2016-10-05 20:42:57","1","",
"2016-10-05 20:48:02","1","",
"2016-10-05 20:49:46","1","",
"2016-10-05 20:51:06","1","",
"2016-10-05 20:52:54","1","",
"2016-10-05 20:54:01","1","",
"2016-10-05 20:55:40","1","",
"2016-10-05 20:57:46","0","",
"2016-10-05 20:58:16","1","",
"2016-10-05 21:00:21","0","",
"2016-10-05 21:00:34","1","",
"2016-10-05 21:01:52","1","",
"2016-10-05 21:02:57","1","",
"2016-10-05 21:05:02","0","",
"2016-10-05 21:05:34","1","",
"2016-10-05 21:07:40","0","",
"2016-10-05 21:08:16","1","",
"2016-10-05 21:09:58","1","",
"2016-10-05 21:11:01","1","",
"2016-10-05 21:13:06","0","",
"2016-10-05 21:16:26","1","",
"2016-10-05 21:18:32","0","",
"2016-10-05 21:25:04","1","",
"2016-10-05 21:27:09","0","",
"2016-10-05 21:29:42","0","",
"2016-10-05 21:30:15","1","",
"2016-10-05 21:32:21","0","",
"2016-10-05 21:32:53","1","",
"2016-10-05 21:34:59","0","",
"2016-10-05 21:37:09","1","",
"2016-10-05 21:38:49","1","",
"2016-10-05 21:39:58","1","",
"2016-10-05 21:41:11","1","",
"2016-10-05 21:43:12","1","",
"2016-10-05 21:44:38","1","",
"2016-10-05 21:45:59","1","",
"2016-10-05 21:47:09","1","",
"2016-10-05 21:48:13","1","",
"2016-10-05 21:49:16","1","",
"2016-10-05 21:50:21","1","",
"2016-10-05 21:52:09","1","",
"2016-10-05 21:53:20","1","",
"2016-10-05 21:55:02","1","",
"2016-10-05 21:56:19","1","",
"2016-10-05 21:57:22","1","",
"2016-10-05 21:59:28","0","",
"2016-10-05 21:59:30","1","",
"2016-10-05 22:01:15","1","",
"2016-10-05 22:03:21","0","",
"2016-10-05 22:04:00","1","",
"2016-10-05 22:06:02","1","",
"2016-10-05 22:07:14","1","",
"2016-10-05 22:09:20","0","",
"2016-10-05 22:13:24","1","",
"2016-10-05 22:15:30","0","",
"2016-10-05 22:19:00","1","",
"2016-10-05 22:21:05","0","",
"2016-10-05 22:22:17","1","",
"2016-10-05 22:24:23","0","",
"2016-10-05 22:24:54","1","",
"2016-10-05 22:26:02","1","",
"2016-10-05 22:27:10","1","",
"2016-10-05 22:28:20","1","",
"2016-10-05 22:29:39","1","",
"2016-10-05 22:30:58","1","",
"2016-10-05 22:32:48","1","",
"2016-10-05 22:34:54","0","",
"2016-10-05 22:36:59","1","",
"2016-10-05 22:38:32","1","",
"2016-10-05 22:40:38","0","",
"2016-10-05 22:41:58","1","",
"2016-10-05 22:44:04","0","",
"2016-10-05 22:48:14","1","",
"2016-10-05 22:50:12","1","",
"2016-10-05 22:51:15","1","",
"2016-10-05 22:53:21","0","",
"2016-10-05 22:53:38","1","",
"2016-10-05 22:55:04","1","",
"2016-10-05 22:56:54","1","",
"2016-10-05 22:58:51","1","",
"2016-10-05 23:00:57","0","",
"2016-10-05 23:03:19","1","",
"2016-10-05 23:04:22","1","",
"2016-10-05 23:06:05","1","",
"2016-10-05 23:08:11","0","",
"2016-10-05 23:09:55","1","",
"2016-10-05 23:12:01","0","",
"2016-10-05 23:12:07","1","",
"2016-10-05 23:13:52","1","",
"2016-10-05 23:15:46","1","",
"2016-10-05 23:17:51","0","",
"2016-10-05 23:19:55","1","",
"2016-10-05 23:22:00","0","",
"2016-10-05 23:28:37","1","",
"2016-10-05 23:30:41","1","",
"2016-10-05 23:32:47","0","",
"2016-10-05 23:33:28","1","",
"2016-10-05 23:35:34","0","",
"2016-10-05 23:37:27","1","",
"2016-10-05 23:39:14","1","",
"2016-10-05 23:40:21","1","",
"2016-10-05 23:41:57","1","",
"2016-10-05 23:44:03","0","",
"2016-10-05 23:46:16","1","",
"2016-10-05 23:48:09","1","",
"2016-10-05 23:49:23","1","",
"2016-10-05 23:51:10","1","",
"2016-10-05 23:53:16","0","",
